,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
GNLY2,6.18395261344831E-05,3.33562931287228,0.375,0.057,1,24,GNLY
TNFRSF182,6.14880827397281E-07,2.86008868997246,0.5,0.07,0.0130588390122635,24,TNFRSF18
CSF14,0.000833422580032385,2.6065983730571,0.375,0.077,1,24,CSF1
KRT86,1.71040854137914E-10,2.4622141567695,0.25,0.011,3.63256566018101E-06,24,KRT86
ISG155,1.59670140810762E-05,2.34503814631764,0.875,0.395,0.339107445053896,24,ISG15
CMPK25,2.7656492343849E-09,2.30984576959689,0.75,0.127,5.87368584398666E-05,24,CMPK2
RSAD24,1.93910235815422E-11,2.29322505809029,0.625,0.066,4.11826558824793E-07,24,RSAD2
TRAV20,2.16081380301946E-05,2.22443430314864,0.125,0.006,0.458913635485273,24,TRAV20
CKLF2,0.000558525619341367,2.04402388276147,0.625,0.234,1,24,CKLF
S100B1,0.00348748280431307,2.01908524826522,0.125,0.012,1,24,S100B
IFIT16,5.19865108027927E-05,1.9936382758124,0.625,0.163,1,24,IFIT1
OASL1,2.73562493423448E-06,1.9882449923832,0.625,0.127,0.0580992023532719,24,OASL
MX15,3.05906385519552E-07,1.96704885713924,1,0.315,0.00649683981566425,24,MX1
OAS25,3.67754096522282E-08,1.92699897838004,0.875,0.204,0.000781036150194023,24,OAS2
CD26,5.14908073937536E-06,1.91048014286621,1,0.325,0.109356176742854,24,CD2
GZMB3,1.46041905420519E-07,1.87002971979511,0.5,0.058,0.00310163798732097,24,GZMB
ACP53,0.00692591684227523,1.83460830845828,0.5,0.186,1,24,ACP5
IFI66,0.000138032884561419,1.83152843421523,0.875,0.354,1,24,IFI6
CD966,0.000714714568266165,1.76239385959582,0.625,0.191,1,24,CD96
XAF15,0.000707172730414155,1.73945074065914,0.625,0.227,1,24,XAF1
LAG32,3.41869966234731E-07,1.73898930874289,0.375,0.038,0.00726063434289323,24,LAG3
RGS110,0.00136864111025238,1.69314796664421,0.5,0.133,1,24,RGS1
LDLRAD44,0.000437146878916135,1.67417409885498,0.375,0.071,1,24,LDLRAD4
CD3G3,2.22999329208448E-05,1.65764460245725,0.875,0.259,0.473605975372902,24,CD3G
HOXA11-AS,4.68741474497414E-09,1.65460491324158,0.125,0.003,9.95513143537607E-05,24,HOXA11-AS
CD76,0.00307939276632691,1.60136406782237,0.75,0.309,1,24,CD7
SPINK21,0.00161190508024546,1.59149037911597,0.125,0.011,1,24,SPINK2
IL2RB4,2.60471670756254E-06,1.55226665909441,0.75,0.15,0.0553189734352132,24,IL2RB
GZMH3,9.00371271927715E-07,1.53295266861509,0.625,0.097,0.0191220850732008,24,GZMH
PTPN185,0.00764861869249621,1.53254692227688,0.5,0.189,1,24,PTPN18
CTSA4,0.00121503590247735,1.53023773441104,0.75,0.377,1,24,CTSA
ISG203,0.000491309139720198,1.51103107293004,0.875,0.387,1,24,ISG20
DEXI1,3.25634325244624E-06,1.50827565515774,0.625,0.124,0.0691582179954533,24,DEXI
TRBV18,0.0030981477635497,1.50767723000235,0.125,0.012,1,24,TRBV18
CAPG8,0.00906407255967563,1.49904260393424,0.625,0.352,1,24,CAPG
CD54,7.20175977782288E-06,1.49700611975021,0.625,0.112,0.152950974161402,24,CD5
TRANK11,0.00527417670144162,1.47679821484191,0.375,0.097,1,24,TRANK1
IFITM13,0.000753206502365472,1.45400380601193,1,0.752,1,24,IFITM1
FIBP4,0.00345424799528125,1.44098297549759,0.625,0.299,1,24,FIBP
TRIM221,0.00304942620865553,1.43302380909966,0.625,0.249,1,24,TRIM22
SFMBT21,3.7091279212605E-13,1.42543743449672,0.5,0.034,7.87744587917304E-09,24,SFMBT2
UBE2L64,0.000272180666346462,1.42456473790021,0.875,0.434,1,24,UBE2L6
EPSTI12,1.15288997565537E-05,1.40410282685877,0.625,0.141,0.244850773029687,24,EPSTI1
SKI2,0.000981880218956517,1.39612428351076,0.375,0.08,1,24,SKI
CYTIP5,0.00383323280497637,1.39044919058696,0.625,0.241,1,24,CYTIP
S100A1,3.15921723074864E-08,1.37127739136941,0.125,0.004,0.000670954555466396,24,S100A1
MX24,0.00037618939419106,1.36955114396891,0.625,0.201,1,24,MX2
RGL42,3.67228431240583E-09,1.34745716514217,0.625,0.073,7.7991974226875E-05,24,RGL4
SNRPB21,0.00096746160555723,1.32733272204339,0.75,0.337,1,24,SNRPB2
GZMA3,0.00759412269937311,1.31667522557159,0.75,0.298,1,24,GZMA
BAX2,0.00696866547807645,1.30707034594382,0.75,0.422,1,24,BAX
CISH3,0.00161410452139953,1.30306929635196,0.5,0.132,1,24,CISH
SH2D2A5,1.91664549235966E-05,1.30237218780402,0.625,0.125,0.407057169667345,24,SH2D2A
PRKCD4,2.87715885229259E-05,1.30229340262195,0.5,0.095,0.611050997049901,24,PRKCD
TRBV25-1,9.73848786160786E-05,1.29790556523445,0.125,0.007,1,24,TRBV25-1
TESPA12,0.000406436125433919,1.2894902885249,0.375,0.068,1,24,TESPA1
WDR45B,0.00251292661343667,1.28738963859812,0.5,0.159,1,24,WDR45B
CTSC10,0.00405705253899106,1.28233571114366,0.75,0.403,1,24,CTSC
PARP61,0.00848151248571137,1.27362245306055,0.375,0.111,1,24,PARP6
IGHA2,1.09374560120744E-69,1.26567948809085,0.25,0.001,2.32289690784436E-65,24,IGHA2
GPA33,7.15980068871676E-47,1.26341437573092,0.25,0.002,1.52059847026967E-42,24,GPA33
SH3BGRL34,0.00102812300835078,1.24822139172568,1,0.903,1,24,SH3BGRL3
SRGAP3,2.92552456581148E-05,1.24265948968191,0.25,0.025,0.621322907287043,24,SRGAP3
CD525,0.00106532390758859,1.22879755335642,1,0.6,1,24,CD52
DRG2,7.32458198328845E-05,1.21444120497607,0.5,0.1,1,24,DRG2
FAM126A1,0.00024755081470014,1.20803952122251,0.375,0.066,1,24,FAM126A
BOP1,0.0070762621010113,1.20668170168105,0.375,0.109,1,24,BOP1
CDIP13,0.00119801574897259,1.20309591844269,0.375,0.079,1,24,CDIP1
SAMD9L1,0.000233761719227918,1.20033175423499,0.625,0.176,1,24,SAMD9L
DOCK104,0.00181411374209548,1.1998976163564,0.5,0.134,1,24,DOCK10
SEMA4D3,0.00273709339222163,1.19895864089307,0.5,0.145,1,24,SEMA4D
ARHGAP95,0.0074949701802578,1.19803506965265,0.5,0.168,1,24,ARHGAP9
TSEN15,0.00128127758740572,1.19256192726116,0.5,0.142,1,24,TSEN15
IL325,0.00783565705088361,1.19135865544362,0.875,0.668,1,24,IL32
AAK11,0.000186304962199146,1.18735170741385,0.625,0.166,1,24,AAK1
RNF1662,0.00170797103278821,1.1795008236771,0.625,0.205,1,24,RNF166
HMOX21,0.00607309315970606,1.16534977242664,0.625,0.298,1,24,HMOX2
TNFSF13B5,0.00535701926037894,1.16436129688391,0.375,0.1,1,24,TNFSF13B
IRF73,0.00336003684294813,1.14777318404213,0.625,0.257,1,24,IRF7
BTN2A12,5.13130774893993E-05,1.1376907339346,0.5,0.095,1,24,BTN2A1
WDR82,0.00412870958680201,1.13655305400736,0.5,0.161,1,24,WDR82
PTPN223,0.0073100093159315,1.13243603441473,0.375,0.097,1,24,PTPN22
RASAL34,0.00607263204353518,1.12876224875563,0.5,0.16,1,24,RASAL3
R3HDM1,0.00819057401318605,1.12738074480546,0.375,0.107,1,24,R3HDM1
CMC24,0.000372312369800225,1.12080184166786,0.75,0.271,1,24,CMC2
MYL69,0.0032276906739615,1.11773188210874,1,0.891,1,24,MYL6
NME73,0.0012915723724035,1.11618266605663,0.375,0.083,1,24,NME7
PLP25,0.00399976220292252,1.11305683446721,0.875,0.536,1,24,PLP2
STK17B4,0.000345965773855223,1.1107444422547,0.875,0.304,1,24,STK17B
CD3E4,0.00357404020767354,1.10905063255169,0.875,0.464,1,24,CD3E
IFITM24,0.000182617570862469,1.10366730054242,1,0.675,1,24,IFITM2
FLT3LG3,0.000792353526470899,1.0954751303542,0.75,0.242,1,24,FLT3LG
TMIGD23,0.00178630531074494,1.08262181021988,0.25,0.039,1,24,TMIGD2
ZNF5933,0.00171365889019245,1.0789811556008,0.625,0.237,1,24,ZNF593
DUSP52,7.0448000300391E-05,1.06857985919624,0.5,0.096,1,24,DUSP5
DUSP44,0.00520039568641341,1.06794312798139,0.5,0.174,1,24,DUSP4
TBC1D10C4,0.00880683724292158,1.05967671361599,0.625,0.266,1,24,TBC1D10C
ALOX5AP6,0.0099846845075726,1.05909006512235,0.75,0.358,1,24,ALOX5AP
AC104820.2,1.32425620678466E-08,1.05040670538371,0.25,0.014,0.000281245533196925,24,AC104820.2
TAP13,0.000826969310126126,1.04394048276786,0.875,0.379,1,24,TAP1
APOL61,0.00984809970111501,1.03228989806709,0.5,0.189,1,24,APOL6
LDHA6,0.00321002120348153,1.03060231086452,1,0.613,1,24,LDHA
C19orf533,0.00390314088945396,1.02937683356091,0.875,0.548,1,24,C19orf53
MRPL524,0.00227983148943516,1.02780724863513,0.75,0.351,1,24,MRPL52
VAMP4,0.00195482827204514,1.01994047287433,0.375,0.085,1,24,VAMP4
IFI444,0.00744758562565932,1.008541465166,0.5,0.188,1,24,IFI44
ATP6V0E21,0.00855769890434659,1.00121170639315,0.5,0.179,1,24,ATP6V0E2
PPM1M4,0.000398622862835033,0.995161865755704,0.5,0.11,1,24,PPM1M
TANGO2,0.00187684299324614,0.985980511835135,0.375,0.085,1,24,TANGO2
RP11-18H21.11,0.00373688019720931,0.97162685893549,0.25,0.043,1,24,RP11-18H21.1
FAM101B,0.000129367219355674,0.9704015833511,0.25,0.028,1,24,FAM101B
SCAMP1-AS1,0.000281810257159382,0.965249286827949,0.25,0.031,1,24,SCAMP1-AS1
TMPRSS11E,2.15230286522865E-05,0.962837941956853,0.125,0.006,0.45710608251726,24,TMPRSS11E
TPM47,0.00689981781480325,0.962366422143067,0.875,0.481,1,24,TPM4
NUDT16L1,0.00694054321853216,0.961568282829791,0.5,0.17,1,24,NUDT16L1
TYMP5,0.00978586384371066,0.960881939440631,0.625,0.293,1,24,TYMP
SCN1B1,3.18041344667782E-10,0.952654677867629,0.25,0.012,6.75456207805435E-06,24,SCN1B
PHF11,0.00939589614785134,0.949578728212374,0.5,0.177,1,24,PHF11
GBP42,0.00377223477089555,0.940955415396008,0.5,0.152,1,24,GBP4
SMAD7,0.00134227095751593,0.929450715304023,0.25,0.038,1,24,SMAD7
PLA2G61,2.24020731999028E-06,0.92502252363644,0.25,0.019,0.0475775230619536,24,PLA2G6
IL12RB11,0.000216335759801144,0.924622256839086,0.375,0.06,1,24,IL12RB1
CCL54,0.00987819499778733,0.918331077691934,0.75,0.316,1,24,CCL5
IFI353,0.0070335028827311,0.916974720190638,0.625,0.271,1,24,IFI35
TRBC26,0.000639336134260783,0.905658955146497,1,0.426,1,24,TRBC2
MED9,0.000578930094868811,0.904979028817684,0.25,0.034,1,24,MED9
KLRF2,1.16627045536108E-35,0.904475320656497,0.125,0.001,2.47692519309585E-31,24,KLRF2
KDELC1,1.95924399209859E-06,0.901637026489296,0.25,0.02,0.0416104239041899,24,KDELC1
ACAD10,0.000177635687817696,0.899986958414344,0.25,0.03,1,24,ACAD10
ENPP11,3.15921723074864E-08,0.898832840263193,0.125,0.004,0.000670954555466396,24,ENPP1
SCX,7.12483051182805E-07,0.897418130627494,0.125,0.005,0.0151317150410204,24,SCX
UBE2D32,0.00784841740364741,0.892577611848691,0.875,0.589,1,24,UBE2D3
TMEM117,0.000355427981422202,0.88659049474842,0.25,0.032,1,24,TMEM117
MYH96,0.00459230683137884,0.885470880603193,1,0.505,1,24,MYH9
ABHD151,0.00120514133443038,0.882543697311746,0.25,0.037,1,24,ABHD15
FOXK2,0.00230226240134041,0.881727589985587,0.25,0.042,1,24,FOXK2
LSP18,0.00808112997479923,0.881238549059888,1,0.523,1,24,LSP1
TAPBP1,0.00552930828666551,0.880935675642762,0.875,0.516,1,24,TAPBP
RP5-1171I10.55,0.00347456945486912,0.880802469261958,0.375,0.086,1,24,RP5-1171I10.5
RPS27L4,0.00724627637589252,0.880687994208876,0.875,0.502,1,24,RPS27L
ARG2,0.000856381470781619,0.87957172849942,0.125,0.01,1,24,ARG2
DMTF1,0.00191976428220118,0.876731508791717,0.375,0.082,1,24,DMTF1
SLA24,0.0005152818299302,0.875362691845982,0.375,0.065,1,24,SLA2
MAP1LC3B21,0.0034556005636391,0.867137705986903,0.25,0.044,1,24,MAP1LC3B2
LINC00299,1.69832669228483E-06,0.865621012773146,0.125,0.005,0.0360690622907451,24,LINC00299
CHN1,0.00111925587585451,0.865329533804885,0.125,0.01,1,24,CHN1
DHRS131,0.00702015087527236,0.862604460926308,0.25,0.05,1,24,DHRS13
KIAA0753,0.000105410025331408,0.860589488900666,0.25,0.028,1,24,KIAA0753
